STATION,STATION_NAME,DATE,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT05,WT11,WT04,WT03
GHCND:USC00319467,WILMINGTON 7 N NC US,19720325,-9999,-9999,-9999,-9999,0.00,0.0,0.0,57,28,38,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720326,-9999,-9999,-9999,-9999,0.54,0.0,0.0,49,31,43,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720327,-9999,-9999,-9999,-9999,0.00,0.0,0.0,60,34,56,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720328,-9999,-9999,-9999,-9999,0.00,0.0,0.0,67,54,60,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720329,-9999,-9999,-9999,-9999,0.00,0.0,0.0,72,42,52,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720330,-9999,-9999,-9999,-9999,0.00,0.0,0.0,64,52,63,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720331,-9999,-9999,-9999,-9999,0.33,0.0,0.0,79,46,47,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720401,-9999,-9999,-9999,-9999,0.14,0.0,0.0,52,44,45,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720402,-9999,-9999,-9999,-9999,0.00,0.0,0.0,61,43,52,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720403,-9999,-9999,-9999,-9999,0.00,0.0,0.0,65,30,55,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720404,-9999,-9999,-9999,-9999,0.00,0.0,0.0,69,55,68,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720405,-9999,-9999,-9999,-9999,0.00,0.0,0.0,76,44,53,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720406,-9999,-9999,-9999,-9999,0.00,0.0,0.0,66,36,65,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720407,-9999,-9999,-9999,-9999,0.00,0.0,0.0,78,55,71,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720408,-9999,-9999,-9999,-9999,0.21,0.0,0.0,83,39,40,-9999,-9999,-9999,-9999,1
